T:StockSharp.Hotbit.HotbitMessageAdapter/summary;DocStr2538
M:StockSharp.Hotbit.HotbitMessageAdapter.#ctor(Ecng.Common.IdGenerator)/summary;DocStr1
M:StockSharp.Hotbit.HotbitMessageAdapter.#ctor(Ecng.Common.IdGenerator)/param/transactionIdGenerator;DocStr3311
M:StockSharp.Hotbit.HotbitMessageAdapter.IsAllDownloadingSupported(StockSharp.Messages.DataType)/inheritdoc;DocStr8459
M:StockSharp.Hotbit.HotbitMessageAdapter.GetTimeFrames(StockSharp.Messages.SecurityId,System.Nullable{System.DateTimeOffset},System.Nullable{System.DateTimeOffset})/inheritdoc;DocStr8459
P:StockSharp.Hotbit.HotbitMessageAdapter.IsSupportOrderBookIncrements/inheritdoc;DocStr8459
P:StockSharp.Hotbit.HotbitMessageAdapter.SupportedOrderBookDepths/inheritdoc;DocStr8459
P:StockSharp.Hotbit.HotbitMessageAdapter.IsSupportCandlesUpdates/inheritdoc;DocStr8459
P:StockSharp.Hotbit.HotbitMessageAdapter.FeatureName/inheritdoc;DocStr8459
M:StockSharp.Hotbit.HotbitMessageAdapter.OnSendInMessage(StockSharp.Messages.Message)/inheritdoc;DocStr8459
P:StockSharp.Hotbit.HotbitMessageAdapter.AllTimeFrames/summary;DocStr206
P:StockSharp.Hotbit.HotbitMessageAdapter.Key/inheritdoc;DocStr8459
P:StockSharp.Hotbit.HotbitMessageAdapter.Secret/inheritdoc;DocStr8459
M:StockSharp.Hotbit.HotbitMessageAdapter.Save(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.Hotbit.HotbitMessageAdapter.Load(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.Hotbit.HotbitMessageAdapter.ToString/inheritdoc;DocStr8459
T:StockSharp.Hotbit.HotbitOrderCondition/summary;DocStr60
M:StockSharp.Hotbit.HotbitOrderCondition.#ctor/summary;DocStr1
P:StockSharp.Hotbit.HotbitOrderCondition.IsFee/summary;DocStr11487
