T:StockSharp.ITCH.ItchMessageAdapter/summary;DocStr3789
M:StockSharp.ITCH.ItchMessageAdapter.#ctor(Ecng.Common.IdGenerator)/summary;DocStr1
M:StockSharp.ITCH.ItchMessageAdapter.#ctor(Ecng.Common.IdGenerator)/param/transactionIdGenerator;DocStr3311
M:StockSharp.ITCH.ItchMessageAdapter.IsAllDownloadingSupported(StockSharp.Messages.DataType)/inheritdoc;DocStr8459
P:StockSharp.ITCH.ItchMessageAdapter.FeatureName/inheritdoc;DocStr8459
M:StockSharp.ITCH.ItchMessageAdapter.OnSendInMessage(StockSharp.Messages.Message)/inheritdoc;DocStr8459
M:StockSharp.ITCH.ItchMessageAdapter.CreateOrderLogMarketDepthBuilder(StockSharp.Messages.SecurityId)/summary;DocStr3790
M:StockSharp.ITCH.ItchMessageAdapter.CreateOrderLogMarketDepthBuilder(StockSharp.Messages.SecurityId)/param/securityId;SecurityId
M:StockSharp.ITCH.ItchMessageAdapter.CreateOrderLogMarketDepthBuilder(StockSharp.Messages.SecurityId)/returns;DocStr1450
P:StockSharp.ITCH.ItchMessageAdapter.PrimaryMulticast/summary;MainUDP
P:StockSharp.ITCH.ItchMessageAdapter.DuplicateMulticast/summary;DuplicateUDP
P:StockSharp.ITCH.ItchMessageAdapter.RecoveryAddress/summary;DocStr3792
P:StockSharp.ITCH.ItchMessageAdapter.ReplayAddress/summary;DocStr3793
P:StockSharp.ITCH.ItchMessageAdapter.Login/inheritdoc;DocStr8459
P:StockSharp.ITCH.ItchMessageAdapter.Password/inheritdoc;DocStr8459
P:StockSharp.ITCH.ItchMessageAdapter.SecurityCsvFile/summary;Str2137
P:StockSharp.ITCH.ItchMessageAdapter.SecurityDelayLoad/summary;DocStr8816
P:StockSharp.ITCH.ItchMessageAdapter.OnlyActiveSecurities/summary;DocStr3794
P:StockSharp.ITCH.ItchMessageAdapter.GroupId/summary;GroupId
P:StockSharp.ITCH.ItchMessageAdapter.TimeZone/summary;Str68
M:StockSharp.ITCH.ItchMessageAdapter.Save(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.ITCH.ItchMessageAdapter.Load(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.ITCH.ItchMessageAdapter.ToString/inheritdoc;DocStr8459
T:StockSharp.ITCH.ItchOrderLogMarketDepthBuilder/summary;DocStr3795
M:StockSharp.ITCH.ItchOrderLogMarketDepthBuilder.#ctor(StockSharp.Messages.SecurityId)/summary;DocStr1
M:StockSharp.ITCH.ItchOrderLogMarketDepthBuilder.#ctor(StockSharp.Messages.SecurityId)/param/securityId;SecurityId
M:StockSharp.ITCH.ItchOrderLogMarketDepthBuilder.#ctor(StockSharp.Messages.QuoteChangeMessage)/summary;DocStr1
M:StockSharp.ITCH.ItchOrderLogMarketDepthBuilder.#ctor(StockSharp.Messages.QuoteChangeMessage)/param/depth;MarketDepth
M:StockSharp.ITCH.ItchOrderLogMarketDepthBuilder.Update(StockSharp.Messages.ExecutionMessage)/inheritdoc;DocStr8459
T:StockSharp.ITCH.ItchTrader/summary;DocStr2539
M:StockSharp.ITCH.ItchTrader.#ctor/summary;DocStr1
P:StockSharp.ITCH.ItchTrader.Login/summary;Login
P:StockSharp.ITCH.ItchTrader.Password/summary;Password
P:StockSharp.ITCH.ItchTrader.PrimaryMulticast/summary;MainUDP
P:StockSharp.ITCH.ItchTrader.DuplicateMulticast/summary;DuplicateUDP
P:StockSharp.ITCH.ItchTrader.RecoveryAddress/summary;DocStr3792
P:StockSharp.ITCH.ItchTrader.ReplayAddress/summary;DocStr3793
P:StockSharp.ITCH.ItchTrader.SecurityCsvFile/summary;Str2137
P:StockSharp.ITCH.ItchTrader.SecurityDelayLoad/summary;DocStr8816
P:StockSharp.ITCH.ItchTrader.OnlyActiveSecurities/summary;DocStr3794
P:StockSharp.ITCH.ItchTrader.GroupId/summary;GroupId
P:StockSharp.ITCH.ItchTrader.TimeZone/summary;Str68
